NAME                                  CPU(cores)   MEMORY(bytes)   
bloaty-mcbloatface-58c98b98d8-9mrzm   1m           3Mi
bloaty-mcbloatface-58c98b98d8-gblr4   1m           3Mi
bloaty-mcbloatface-58c98b98d8-hlnrn   1m           3Mi
bloaty-mcbloatface-58c98b98d8-j9vx9   1m           3Mi
bloaty-mcbloatface-58c98b98d8-llwxs   1m           3Mi
bloaty-mcbloatface-58c98b98d8-ltd6x   1m           3Mi
bloaty-mcbloatface-58c98b98d8-mcrjk   1m           3Mi
bloaty-mcbloatface-58c98b98d8-pbdqd   1m           3Mi
bloaty-mcbloatface-58c98b98d8-v54s2   1m           3Mi
bloaty-mcbloatface-58c98b98d8-wcjgv   1m           3Mi
bloaty-mcbloatface-58c98b98d8-x29jl   1m           3Mi
bloaty-mcbloatface-58c98b98d8-xld66   1m           3Mi
bloaty-mcbloatface-58c98b98d8-zr5g4   1m           3Mi
blue-8475cbdf46-9lb6w                 1m           3Mi
blue-8475cbdf46-nknws                 1m           3Mi
blue-8475cbdf46-x99vh                 1m           3Mi
canary-v1-64598c676f-2xvjk            0m           3Mi
canary-v1-64598c676f-dqt9w            0m           3Mi
canary-v1-64598c676f-w7zlv            0m           3Mi
green-5cdd96c9b4-k7vgn                1m           3Mi
green-5cdd96c9b4-lxqff                0m           3Mi
green-5cdd96c9b4-zbbqm                1m           3Mi
hello-world-794458d64d-hqfkf          2m           20Mi
